sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
630,20.3,Yargıtay,21,3833,2018,5638,2019-10-01,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davacılar"
631,20.3,Yargıtay,21,278,2019,7415,2019-12-03,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI -  ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞININ ANLAŞILIP KAZA OLAYININ MEYDANA GELMESİNDE KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDA GÖRÜLMESİ MUHTEMEL RÜCU DAVASIN,"(6100 S. K. m. 362) (6331 S. K. m. 4) (4857 S. K. m. 77) &nbsp; Davacılar, murisinin işkazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan ... vekilince istinaf kanun y"
632,20.3,Yargıtay,21,250,2019,7418,2019-12-03,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI -  ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞININ ANLAŞILIP KAZA OLAYININ MEYDANA GELMESİNDE KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDA GÖRÜLMESİ MUHTEMEL RÜCU DAVASIN,"(6100 S. K. m. 362) (6331 S. K. m. 4) &nbsp; A.Davacı Çocukların Maddi Tazminat İstemlerine İlişkin Hükümler Yönünden &nbsp; Miktar veya değeri temyiz kesinlik sınırını geçmeyen davalara ilişkin nihai kararlar 6100 sayılı Hukuk Muhakemeleri Kanununun 362/1-(a) maddesi uyarınca temyiz edilemez. Kesin"
633,20.3,Yargıtay,21,96,2019,6742,2019-11-11,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 3. Hukuk Dairesi MAHKEMESİ: İş Mahkemesi Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan ... İşletmeleri "
634,20.3,Yargıtay,21,1421,2017,4489,2017-05-29,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"BÖLGE ADLİYE MAHKEMESİ: ... 3. Hukuk Dairesi Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kabulüne karar verilmesi üzerine davalılar vekillerince istinaf kanun yoluna başvurulmuştur. Bölge Adliye Ma"
635,20.3,Yargıtay,10,7342,2020,2071,2021-02-23,gebe+illiyet,gebe×1 | travma×15 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle asıl ve birleşen dava dosyalarında davalı .... yönünden husumet nedeniyle davanın reddine, diğer davalılar yönünden davanın kısmen kabulüne"
636,20.3,Yargıtay,21,5271,2018,5811,2019-10-07,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi KARAR A)Davacı İstemi; Davacılar dava dilekçesi ve ıslah ile eş için 235.347, 66 TL maddi, 190.000,00 TL manevi, çocuk için 1.000,00 TL maddi, 150.000,00 TL manevi, anne için 66.564,31 TL maddi, 50.000,00 "
637,20.3,Yargıtay,21,3964,2018,4932,2019-09-10,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ...Bölge Adliye Mahkemesi 15. Hukuk Dairesi İLK DERECE MAHKEMESİ: ...İş Mahkemesi TÜRK MİLLETİ ADINA KARAR A)Davacı İstemi; Davacılar vekili dava dilekçesi ve ıslahla, eş için 233.476,55 TL maddi, 190.000,00 TL manevi, çocuk için 158.431,81 TL maddi, 160.000,00 TL manevi, kayınvalide ve k"
638,20.3,Yargıtay,10,7340,2020,6190,2020-11-02,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacılar murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme, ilamında belirtildiği şekilde isteğin kısmen kabulüne karar vermiştir. Hükmün, davalılardan ... vekili tarafından temyiz edilmesi üzerine, temyiz"
639,20.3,Yargıtay,21,4395,2018,4937,2019-09-10,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 15. Hukuk Dairesi İLK DERECE MAHKEMESİ: Soma İş Mahkemesi TÜRK MİLLETİ ADINA Asıl ve birleşen dava bakımından; Davacılar murisinin, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince a"
640,20.3,Yargıtay,21,6074,2018,5428,2019-09-24,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu maluliyetinden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan Türkiye "
641,20.3,Yargıtay,10,7134,2024,6612,2025-04-22,gebe+illiyet,gebe×1 | travma×17 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 9. Hukuk Dairesi SAYISI: 2020/1378 E., 2022/1512 K. İLK DERECE MAHKEMESİ: Soma 1. İş Mahkemesi SAYISI: 2018/670 E., 2020/6 K. Taraflar arasındaki iş kazasından kaynaklanan maddi tazminat davasından dolayı yapılan yargılama sonunda, İlk Derece Mahkemesince dava"
642,20.3,Yargıtay,21,6022,2017,10029,2017-12-04,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 15. Hukuk Dairesi İLK DERECE MAHKEMESİ : ... İş Mahkemesi Davacılar murisinin, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine taraf ve"
643,20.3,Yargıtay,21,1755,2017,5704,2017-07-04,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 7. Hukuk Dairesi Davacı murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kabulüne karar verilmesi üzerine davalılar vekillerince istinaf kanun yoluna başvurulmuştur. Bölge Ad"
644,20.3,Yargıtay,21,269,2020,1731,2020-06-01,gebe+illiyet,gebe×1 | travma×12 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 7. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacı, murisinin işkazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kabulüne karar verilmesi üzerine davalılardan TKİ vekilince istinaf kanun y"
645,20.3,Yargıtay,21,2040,2018,7637,2018-10-22,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 15. Hukuk Dairesi Davacılar murisinin, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince, asıl ve birleşen davaların kısmen kabulüne karar verilmesi üzerine davalılardan ... vekilince i"
646,20.3,Yargıtay,21,5612,2017,8802,2017-11-06,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - KARARIN DAYANDIĞI DELİLLERLE KANUNİ GEREKTİRİCİ SEBEPLER - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - YERİNDE GÖRÜLMEYEN BÜTÜN TEMYİZ İTİRAZLARININ REDDİYLE USUL VE,"(6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 417) (818 S. K. m. 47, 332) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.06.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; Davacılar murisinin, iş kazası sonucu ölümünde"
647,20.3,Yargıtay,21,926,2018,1740,2018-02-26,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDA GÖRÜLMESİ MUHTEMEL RÜCU DAVASINDA YENİDEN DEĞERLENDİRİLEB,"(4857 S. K. m. 2, 77) (6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 417) (818 S. K. m. 47, 332) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.6.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; Davacılar murisinin, iş kazası sonucu ölümünden"
648,20.3,Yargıtay,21,899,2019,7772,2019-12-16,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacılar, murisinin işkazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davacılar ve davalılardan ... Genel "
649,20.3,Yargıtay,21,430,2019,7561,2019-12-09,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - DAVALI İLE KÖMÜR İŞLETMELERİARASINDA ORGANİK BAĞ BULUNUP BULUNMADIĞI BİRLİKTE İSTİHDAMIN VEYA MUVAZAALI İŞLEMLERİN SÖZ KONUSU OLUP OLMADIĞI ARAŞTIRILMASI - HÜKMÜN BOZULMASI,"(6100 S. K. m. 353, 373) (6098 S. K. m. 56) (4857 S. K. m. 2) (6331 S. K. m. 4, 5) (YHGK. 23.06.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; A) Davacı İstemi &nbsp; Davacılar dava dilekçesi ve ıslah ile eş için 230.313,17 TL maddi, 150.000,00 TL manevi, çocuk ... için 28.055,23 TL maddi, 100.000,00 TL"
650,20.3,Yargıtay,21,5272,2018,5810,2019-10-07,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi KARAR A)Davacı İstemi; Davacı dava dilekçesi ve ıslah ile 154.395,19 TL maddi, 150.000,00 TL manevi tazminat talep etmiştir. B)Davalıların Cevapları; Davalılar vekilleri davanın reddi gerektiğini savunmuşl"
651,20.3,Yargıtay,21,5295,2018,6065,2019-10-14,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılar"
652,20.3,Yargıtay,21,210,2019,7202,2019-11-26,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi MAHKEMESİ: İş Mahkemesi 1-Davacı Annenin Maddi, Davacı Kardeşlerin Manevi Tazminat İstemlerine İlişkin Hükümler Yönünden Miktar veya değeri temyiz kesinlik sınırını geçmeyen davalara ilişkin nihai kararlar 6100 sayılı Hukuk Muhakemeleri Kanununun 36"
653,20.3,Yargıtay,21,901,2018,1739,2018-02-26,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDA GÖRÜLMESİ MUHTEMEL RÜCU DAVASINDA YENİDEN DEĞERLENDİRİLEB,"(4857 S. K. m. 2, 77) (6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 417) (818 S. K. m. 47, 332) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.6.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; Davacılar murisinin, iş kazası sonucu ölümünden"
654,20.3,Yargıtay,21,91,2019,6738,2019-11-11,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi İLK DERECE MAHKEMESİ: İş Mahkemesi A)Davacı İstemi Davacılar dava dilekçeleri ve ıslah ile eş için 226.210,27 TL maddi, 190.000,00 TL manevi, çocuk Emrem için 56.645,62 TL maddi, 145.000,00 TL manevi, çocuk Sultan için 89.223,54 TL maddi, 145.000,00"
655,20.3,Yargıtay,21,17434,2016,3204,2017-04-18,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - KUSUR DAĞILIMININ İLERDE KENDİ ARALARINDA AÇILABİLECEK RÜCU DAVASINDA YENİDEN DEĞERLENDİRİLMESİNİN MÜMKÜN BULUNMASI - USUL VE KANUNA UYGUN O,"(6331 S. K. m. 4, 5, 10, 19) (818 S. K. m. 47, 332) (6098 S. K. m. 56, 417) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) Dava ve Karar: Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesi dava"
656,20.3,Yargıtay,21,2361,2018,7639,2018-10-22,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 15. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacılar murisinin, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davacılar ile davalılardan .."
657,20.3,Yargıtay,21,1857,2017,3192,2017-04-18,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,İŞ KAZASI SONUCU ÖLÜMDEN DOĞAN MANEVİ TAZMİNATIN ÖDETİLMESİ DAVASI - TOPLUMU DERİNDEN ETKİLEYEN FACİALARDA HÜKÜM ALTINA ALINAN MANEVİ TAZMİNAT TUTARLARI DEĞERLENDİRİLİRKEN MANEVİ TAZMİNATIN CAYDIRICIL,"(6331 S. K. m. 4, 5, 10, 19) (818 S. K. m. 47, 332) (6098 S. K. m. 56, 417) (4857 S. K. m. 2, 77) (YHGK 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK 23.06.2004 T. 2004/13-291 E. 2004/370 K.) Dava: Davacılar murisinin, iş kazası sonucu ölümünden do"
658,20.3,Yargıtay,21,1063,2018,2097,2018-03-12,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDA GÖRÜLMESİ MUHTEMEL RÜCU DAVASINDA YENİDEN DEĞERLENDİRİLEB,"(4857 S. K. m. 2, 77) (6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 417) (818 S. K. m. 47, 332) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.6.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; Asıl ve birleşen dava bakımından; Davacılar mur"
659,20.3,Yargıtay,21,6021,2017,9717,2017-11-27,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - KARARIN DAYANDIĞI DELİLLERLE KANUNİ GEREKTİRİCİ SEBEPLER - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - YERİNDE GÖRÜLMEYEN BÜTÜN TEMYİZ İTİRAZLARININ REDDİYLE USUL VE,"(6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 417) (818 S. K. m. 47, 332) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.06.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; Davacılar murisinin, iş kazası sonucu ölümünde"
660,20.3,Yargıtay,21,2633,2019,820,2020-02-17,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün, davalılardan TKİ Genel Müdürlüğü vekili tarafından temy"
661,20.3,Yargıtay,21,4729,2018,5648,2019-10-01,gebe+illiyet,gebe×1 | travma×12 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi K A R A R Dosyadaki yazılara, toplanan delillere, hükmün dayandığı gerektirici nedenlerle temyiz kapsam ve nedenlerine göre; temyiz eden davacıların tüm, davalı ... Genel Müdürlüğü'nün aşağıdaki bendin kap"
662,20.3,Yargıtay,21,2901,2019,825,2020-02-17,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Asıl ve Birleşen Mahkemenin 2017/136 Esas sayılı davası bakımından; DAVACILAR: ... Vs. Vek. Av.... DAVALILAR: 1-.... Vek. Av.... 2-... Genel Müd. Vek.Av.Işın Vural Selçuk TÜRK MİLLETİ ADINA Asıl ve birleşen dava bakımından; Davacılar murisinin iş kazası sonucu ölümünden doğan "
663,20.3,Yargıtay,21,5553,2017,9534,2017-11-21,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - KARARIN DAYANDIĞI DELİLLERLE KANUNİ GEREKTİRİCİ SEBEPLER - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - YERİNDE GÖRÜLMEYEN BÜTÜN TEMYİZ İTİRAZLARININ REDDİYLE USUL VE,"(6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 417) (818 S. K. m. 47, 332) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.06.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; Asıl ve birleşen davalar bakımından davacılar "
664,20.3,Yargıtay,10,12827,2021,1509,2022-02-08,gebe+illiyet,gebe×1 | travma×16 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. Mahkemece, (Kapatılan) 21.Hukuk Dairesinin bozma kararına uyularak ilamda belirtildiği şekilde davanın kısmen kabulüne karar verilmiştir. Hükmün, davacı ... ile davalı ... Genel Müdürlüğü vekili t"
665,20.3,Yargıtay,10,10121,2020,2978,2021-03-09,gebe+illiyet,gebe×1 | travma×15 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - BAKİYE KARAR VE İLAM HARÇLARININ HARÇLAR KANUNUNUN İLGİLİ MADDESİNE AYKIRI OLACAK ŞEKİLDE ALINMASI GEREKTİĞİ - EKSİK İNCELEME VE ARAŞTIRMA SONUCU KARAR VERİLMESİNİN İSABETSİZLİĞİ - H,"(5521 S. K. m. 5, 8) (6100 S. K. m. 297, 346, 362, 366) (492 S. K. m. 8) (4857 S. K. m. 2, 77) (818 S. K. m. 332) (6098 S. K. m. 417) (6331 S. K. m. 4, 5, 10) (YİBK. 01.06.1990 T. 1989/3 E. 1990/4 K.) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.)"
666,20.3,Yargıtay,21,5921,2018,6077,2019-10-14,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi ASIL VE BİRLEŞEN ... İŞ MAHKEMESİNİN .../... ESAS SAYILI DAVASI BAKIMINDAN TÜRK MİLLETİ ADINA Asıl ve birleşen davalar bakımından davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazmi"
667,20.3,Yargıtay,10,1170,2021,8295,2021-06-15,gebe+illiyet,gebe×1 | travma×16 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davalı .... yönünden davanın reddine, diğer davalılar yönünden davanın kısmen kabulüne dair verilen karara karşı davalı ... vekili tarafınd"
668,20.3,Yargıtay,21,101,2019,7198,2019-11-26,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,MAHKEMESİ: Bölge Adliye Mahkemesi 3. Hukuk Dairesi MAHKEMESİ: İş Mahkemesi 1-Asıl Dava Dosyasının Davacısı Kardeşin Manevi Tazminat İstemi ile Birleşen Dava Dosyasının Davacıları Çocuklar ...ve ...'ın Maddi Tazminat İstemlerine İlişkin Hükümler Yönünden Miktar veya değeri temyiz kesinlik sınırını ge
669,20.3,Yargıtay,21,2043,2018,7636,2018-10-22,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 15. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacılar murisinin, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davacılar ile davalılardan .."
670,20.3,Yargıtay,10,1845,2021,9142,2021-06-29,gebe+illiyet,gebe×1 | travma×18 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. Mahkemece, (kapatılan) 21. Hukuk Dairesinin bozma kararına uyularak ilamda belirtildiği şekilde davanın kısmen kabulüne karar verilmiştir. Hükmün, asıl dava dosyasının davacıları ile davalı ... ta"
671,20.3,Yargıtay,21,195,2019,7203,2019-11-26,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 3. Hukuk Dairesi MAHKEMESİ: İş Mahkemesi A)Davacı İstemi Davacılar dava dilekçesi ve ıslah ile eş için 192.513,58 TL maddi, 250.000,00 TL manevi, anne için 48.814,54 TL maddi, 80.000,00bin TL manevi, baba için 52.829,03 TL maddi, 80.000,00 TL manevi, kardeş için 70."
672,20.3,Yargıtay,21,4985,2018,5803,2019-10-07,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi A)Davacı İstemi; Davacılar dava dilekçesi ve ıslah ile eş için 74.905,46 TL maddi, 190.000,00 TL manevi, çocuk ... için 22.996,22 TL maddi, 150.000,00 TL manevi, çocuk ... için 2.000,00 TL maddi, 150.000,0"
673,20.3,Yargıtay,21,4300,2019,283,2020-01-28,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme, bozmaya uyarak ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün, davalılardan Türkiye Kömür İşl"
674,20.3,Yargıtay,21,37,2018,456,2018-01-23,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 3. Hukuk Dairesi Asıl ve birleşen davalar bakımından; Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince, asıl ve birleşen davanın kısmen kabulüne karar verilmesi üzerine, da"
