"No","Tip","Mahkeme/Daire","Esas","Karar","Tarih","ID (Sinerji)","URL","Anahtar Kelimeler","Snippet"
"38","Anayasa","Bölüm","2021/6156","2025/","2025-04-30","YXJOUFNVcVNaaC9EOUlRcGl2ek9UOVF5UVpKMFVqL2o","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/YXJOUFNVcVNaaC9EOUlRcGl2ek9UOVF5UVpKMFVqL2o","boğaz, travma, travmatik","Raporda Ö.Ç.nin psikolojik olarak bipolar bozukluğu olduğu, kulak burun boğaz, kardiyoloji bakımından ... lezyonların yeri ve ağırlığı itibarıyla ölüme sebep olacak nitelikte olmadığı, iç muayenede kırık ya da travma ... , damar yaralanması bulunmadığı, bünyede toksik maddeye rastlanmadığı, bu bağlamda kişinin ölümünün travmatik ... gerekçesinde kronik akciğer hastalığı bulunan Ö.Ç.nin ölümünün kalp damar hastalığı sonucu oluştuğunu, travmatik"
"39","Bölge Adliye Mahkemesi","3. Hukuk Dairesi","2023/1399","2025/616","2025-04-24","eCtjTFhiRXgwVlYwemFMU1IxSkhwUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eCtjTFhiRXgwVlYwemFMU1IxSkhwUT09","boğaz, travma","bulguları stabil olduğu, hastaya takip kararı verildiği, burun kemiğinde kırık olduğu, kulak burun boğaz ... Çocuk Kliniğinde düzenlenen 17.09.... yatış tarihli .... dosya nolu epikriz raporunda; hasta çok sayıda travma"
"40","Danıştay","Daire","2023/3481","2025/1987","2025-04-24","STIvNG0yd25PTkdpZGx5S2tBQUxwVjc4WVJlVEgyZlA","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/STIvNG0yd25PTkdpZGx5S2tBQUxwVjc4WVJlVEgyZlA","boğaz, travmatik","Sosyal Hizmetler ve Sağlık Daire Başkanlığı Sağlık Komisyonunca incelenmesi neticesinde, Kulak Burun Boğaz ... Sağlık Şartları Yönetmeliği'nin eklerinde yapılan değişiklikle, EK-3-6-A maddesi; Kulak burun boğaz ... fonksiyonlarını etkileyen bir hastalığı, sakatlığı olanlar ile doğuştan (konjenital) veya sonradan (cerrahi-travmatik ... (1) Kulak burun boğaz hastalıkları yönünden; a) Patolojik durumun iki kulakta da aynı anda bulunması"
"41","Danıştay","Daire","2021/7513","2025/2144","2025-04-21","OVVOSFc5dkk5Y3VyV3U3TU1Ya2p3NDlEV1FRMlNOVG4","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/OVVOSFc5dkk5Y3VyV3U3TU1Ya2p3NDlEV1FRMlNOVG4","travmaya, gebe, gebenin","geç müdahale edilmesi sonucu bebeğin oksijensiz kaldığı ve rahminin alındığı, bebeğin doğumda yaşanan travmaya ... nün normal gebe değil riskli gebe olduğu, bütün çocuklarının sezaryen ile doğduğu, risk var denilerek ... ensefalopati ve gelişen komplikasyonlar sonucu meydana gelmiş olduğunun kabülü gerektiği, ... suyu gelen gebenin ... sezaryen ve polihidroamniyos tanısı ile Nizip Devlet Hastanesinden sevkinin uygun görülmesi, 35 haftalık gebe"
"42","Bölge Adliye Mahkemesi","8. Hukuk Dairesi","2021/2409","2025/535","2025-04-17","RzJWaDlYVCtJSkswcWpwRk5XaTVWUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RzJWaDlYVCtJSkswcWpwRk5XaTVWUT09","hamile, travma, travmanın","müvekkilinin yaralandığını, kaza nedeniyle vücüdunda bel fıtığı oluştuğunu, müvekkilinin kaza esnasında hamile ... olduğunu, büyük bir travma yaşadığını, manevi zarara uğradığını ileri sürerek, fazlaya ilişkin hakları ... konusu olamamasına; kaza tarihi, kusur durumu (%100 davalı kusuru), davacının kaza tarihinde 6 haftalık hamile ... olması, yaşadığı travmanın boyutu, maluliyet oranı, yarlanmasının niteliği (dalağının alınması-organ"
"43","Yargıtay","Ceza Dairesi","2023/8747","2025/3000","2025-04-17","RGRNVkRIdHRPb2wrNi9KZ1h3bFpId0NWT2VxdnhueVQ","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RGRNVkRIdHRPb2wrNi9KZ1h3bFpId0NWT2VxdnhueVQ","travmasının, travmatik, travmasına, hamile","maruz kalması sebebiyle öldüğünün belirtilmesi karşısında maktulün maruz kaldığı kafa travmasının sanığın ... bağlı oluşan travmatik değişimlerin asgari 3 hafta öncesiyle 12/10/2021 tarihleri arasında birden fazla ... künt kafa travmasına maruz kalması sebebiyle gerçekleşmiş olduğunun tespit edildiğinin belirtilmesi, ... ın maktulün üvey evlat olması veya kendisinin hamile olmasının psikolojik etkileri veya olay tarihi itibariyle ... Adlî Tıp İhtisas Kurulu tarafından düzenlenen raporda özetle; "
"44","Yargıtay","Hukuk Dairesi","2023/10741","2025/5441","2025-04-09","cVg2cjd1R1hoanhpZjUzZy9rTHJkWXdoekg1ejYxTkY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/cVg2cjd1R1hoanhpZjUzZy9rTHJkWXdoekg1ejYxTkY","boğaz, travmatoloji","Söz konusu maluliyet raporunu düzenleyen kurul içerisinde kulak burun boğaz uzmanı ve plastik cerrahi ... Değerlendirmesi Hakkında Yönetmelik hükümlerine uygun olarak ve içerisinde plastik cerrahi uzmanı, ortopedi ve travmatoloji ... uzmanı ile kulak burun boğaz uzmanının da bulunduğu üniversite hastanelerinin adli tıp anabilim dalı"
"45","Yargıtay","Hukuk Dairesi","2023/10473","2025/4890","2025-03-24","RzZ5eVJhSW1GRFVPWE5KSDgxdTdDcVVMRFc3UUZCbmM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RzZ5eVJhSW1GRFVPWE5KSDgxdTdDcVVMRFc3UUZCbmM","travmatoloji, boğaz","yerine en yakın Üniversite Hastanelerinin Adli Tıp Anabilim Dalı bölümlerinden içerisinde ortopedi ve travmatoloji ... edilen davacının bizzat muayene edildiği, 1 adli tıp uzmanı ve 1 ortopedi uzmanı ile 1 kulak burun boğaz"
"46","Bölge Adliye Mahkemesi","26. Hukuk Dairesi","2023/358","2025/349","2025-03-14","K2pUeWJZNzdLZXU4dEErRTdNK1I5Zz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/K2pUeWJZNzdLZXU4dEErRTdNK1I5Zz09","boğaz, travma","tedavisi yapıldıktan sonra 24.09.2018 tarihinde taburcu edildiği, 27.09.2018 tarihinde Kulak Burun Boğaz ... yaşadığı öykü ile beraber değerlendirildiğinde şu anda işlevselliği hafif düzeyde etkileyen kronik travma ... olduğunun görüldüğü, alt ekstremite muayenelerinde patolojik bir bulgu saptanmadığı ve hastanın Kulak Burun Boğaz ... Hastalıkları ile Psikiyatri bölümlerine konsülte edildiği ,adı geçenin 01.02.2022 tarihinde Kulak Burun Boğaz ... durum muayenesi birlikte değerlendirildiğinde has"
"47","Bölge Adliye Mahkemesi","14. Hukuk Dairesi","2021/1653","2025/415","2025-03-13","WHlGaWhsYVl4TjdEaW91OE9NcnVhQT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/WHlGaWhsYVl4TjdEaW91OE9NcnVhQT09","hamilelikte, gebelik, hamilelik, travma, gebeye","bulunduğunu, davalının sigortalısı doktorun genel olarak tıbbi kötü uygulaması sonucu down sendromunun hamilelikte ... Davalı vekili, savunmasında özetle; davacının gebelik takibinde sigortalı hekim tarafından takip edildiği ... bulunmadığını, mevcut tıbbi yöntemlerle down sendromu gibi anomolilerin %100 tespitinin mümkün olmadığını, hamilelik ... bilirkişi raporları ile davacı annenin 07/10/2016 tarihinde down sendromlu olarak ...ı dünyaya getirdiği, hamilelik ... sonlandırma hakkının elinden a"
"48","Yargıtay","Hukuk Dairesi","2023/7684","2025/4232","2025-03-12","SmpyMmFIR200RFoyMFNOenI3ZzIyOUZNNDdSU3hwd0o","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SmpyMmFIR200RFoyMFNOenI3ZzIyOUZNNDdSU3hwd0o","travmaları, boğaz","Başkanlığı tarafından düzenlenen 27.04.2022 tarihli raporda, davacıda mevcut arızaların skar ile kafa travmaları ... kullanılmış ise de raporu düzenleyen heyetin içinde maluliyetin niteliğine göre plastik cerrahi, kulak burun boğaz ... toplanması; daha sonra, yaralanmanın mahiyeti nazara alınarak içerisinde plastik cerrahi, kulak burun boğaz"
"49","Yargıtay","Hukuk Dairesi","2024/3252","2025/1654","2025-03-10","N2VPRi8wRzV0d2h1anJROTgxa3NtZUVPT2VvQytOTWU","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/N2VPRi8wRzV0d2h1anJROTgxa3NtZUVPT2VvQytOTWU","gebelik, hamilelikte, gebelikte, gebeliğin, travma, hamileliğin","ın gebelik takibinin davalının Tıbbi Kötü Uygulamaya İlişkin Zorunlu Mali Sorumluluk Sigorta poliçesini ... Dr. ... tarafından yapıldığını, doktorun genel olarak tıbbi kötü uygulaması sonucu, down sendromunun hamilelikte ... ın down sendromlu olarak doğduğunu, sigortalı doktorun müvekkilini gebelikte olabilecek hastalıklar, ... bilgilendirmediğini, aydınlatılmış onamının alınmadığını, birkaç basit test ile saptanabilecek down sendromunu gebelikte ... saptayamayarak, anne ve babanın gebeliğin son"
"50","Bölge Adliye Mahkemesi","14. Hukuk Dairesi","2022/58","2025/374","2025-03-06","YWpzUkpEYktGQXh0MHdOVlRvbmd6UT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/YWpzUkpEYktGQXh0MHdOVlRvbmd6UT09","hamileliği, hamilelikte, travmaya, gebelikte","sorumluluğunu geriye dönük olarak 10 yıl, zamanaşımı süresinin ise 10 yıl olduğunu, müvekkili ...nun hamileliği ... şirketinin sigortalısı tarafından takip edildiğini, doktorun kötü uygulaması sonucunda down sendromunun hamilelikte ... zorluklara katlanmak zorunda kalacağı gibi davacıların, manevi yönden sürekliliği bulunan ağır bir travmaya ... Tıp Merkezinde hamileliği ile ilgili olarak takip yaptırdığı konularında herhangi bir uyuşmazlık mevcut ... izlem ve doğum kayıtları incelendiğinde 22.1"
"51","Yargıtay","Ceza Dairesi","2024/9824","2025/1659","2025-03-03","K1BWSW1DODFTeTQ2THhWV2lWS285V2dNc2x5TzlZbkE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/K1BWSW1DODFTeTQ2THhWV2lWS285V2dNc2x5TzlZbkE","hamile, travmalar, gebe","Vekilinin Temyiz İstemi Özetle suçun işleniş biçimi, meydana gelen zararın ağırlığı, katılan mağdurenin hamile ... kalması, eylemin katılan mağdure üzerindeki etkileri ve yaşadığı travmalar dikkate alınarak sanık hakkında ... Ecrin tüm yargılama aşamasında sanık ...’ın kendisini cinsel istismar ettiğini beyan ettiği, mağdurenin hamile ... kanıtlandığı, mağdure Ecrin’in beden muayene sonucunda alınan raporu incelendiğinde, mağdurenin yirmi haftalık gebe"
"52","Yargıtay","Hukuk Dairesi","2025/919","2025/1220","2025-02-27","azJNVlpjemdFSTlrZVBPdTVTRGYrWEJsbEV4SUNadmo","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/azJNVlpjemdFSTlrZVBPdTVTRGYrWEJsbEV4SUNadmo","hamile, gebenin, travması, travmasına",".'ya hamile iken suyunun gelmesi üzerine ... ... , serebral palsi tanısı ile tedavi gördüğü, genel uygulamalarda travayda (doğum eyleminde) olan bir gebenin ... değerlendirilmelerinde; mikrosefali, multikistik beyin, sırtında “cafe au lait” lekeleri gibi doğrudan doğum travması ... nörolojik problemlerin, dosyada doğum süreci ile ilgili yeterli bilgi bulunmamasına rağmen, doğrudan doğum travmasına"
"53","A.İ.H.M.","A.İ.H.M.","2022/8875","2025/","2025-02-25","S1d5UFk3dVRLTjZnLzhiby9GVW5qeXBBV2ZsdDBramo","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/S1d5UFk3dVRLTjZnLzhiby9GVW5qeXBBV2ZsdDBramo","boğazında, boğazındaki, travmaya","Boğazında da yine siyah renkte yüzünü kapatmak için kullandığı bez vardı. ... Ambulans gelince görevliler şahsın boğazındaki siyah renkli bezi keserek çıkarttılar. ... sayıda kaburga kırığı ve geniş akciğer hasarından kaynaklanan iç kanamayla ilişkili genel bedensel travmaya"
"54","Yargıtay","Hukuk Dairesi","2023/7598","2025/2882","2025-02-20","UVZpZXJ0Qm10aVZoQ2FNYndhZzA0ZmhNYmFmczZlOUE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/UVZpZXJ0Qm10aVZoQ2FNYndhZzA0ZmhNYmFmczZlOUE","travmatoloji, boğaz","Değerlendirmesi Hakkında Yönetmelik hükümleri uygulanmış ise de raporu düzenleyen heyetin iki ortopedi ve travmatoloji ... davacının yaralanması sonucu oluşan maluliyet durumuna göre plastik cerrahi uzmanı ile kulak burun boğaz ... üniversite adli tıp anabilim dalı başkanlığından içinde plastik cerrahi uzmanı hekim ile kulak burun boğaz"
"55","Yargıtay","Ceza Dairesi","2023/2438","2025/1794","2025-02-19","d3RHN0ErY2pqZG5qbDNOdHRSMC9sY2JjWjF3eldKcjA","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/d3RHN0ErY2pqZG5qbDNOdHRSMC9sY2JjWjF3eldKcjA","boğaz, travmasına, travma","yı çağırdığı ve ayrıca hastanın çene bölgesinde bulunan ekimozlar nedeniyle kulak burun boğaz uzmanı, ... yapılan parasentezde batın içerisinden kan geldiği de dikkate alındığında kişinin ölümünün genel beden travmasına ... yapılan parasentezde batın içerisinden kan geldiği de dikkate alındığında kişinin ölümünün genel beden travmasına ... yapılan parasentezde batın içerisinden kan geldiği de dikkate alındığında kişinin ölümünün genel beden travmasına ... arasında kesin illiyet bağının varlığına"
"56","Yargıtay","Ceza Genel Kurulu","2022/613","2025/43","2025-02-05","bVprNnBlNURKMi9LaGhSKzN5b0pIZ09aT29HU3RtY3I","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bVprNnBlNURKMi9LaGhSKzN5b0pIZ09aT29HU3RtY3I","boğazına, travmasının, gebertecekler, boğazını","ın boğazına sarıldığı, mağduru boğmaya çalıştığı, sonrasında ise mağduru sürükleyerek olay yerinden uzaklaştırmaya ... in telefonu kapatıp ön cebine koyduğunu ve elleriyle kendisinin boğazına sarıldığını, bağırmaması için ... kasına kadar uzanan kesici delici alet yaralanması ile trapezius kasında hematom oluşturan yumuşak doku travmasının ... hayatınızı kurtarın, ölümlerden ölüm beğen, ben senin ecelinim, s.ktir len köpek o orospu ...’ı da seni de gebertecekler ... doğrultusunda kendisini boğar"
"57","Yargıtay","Hukuk Dairesi","2023/2725","2025/1038","2025-01-27","eTBrYkxZcm5PcVdWQnJ5V3BIZWJiNXBYTGdFVWl1Z0I","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eTBrYkxZcm5PcVdWQnJ5V3BIZWJiNXBYTGdFVWl1Z0I","boğaz, travmatoloji","nedenlerle oluşan burun eğriliğinden kaynaklandığı, tespit edilen maluliyetin, deri ve kulak burun boğaz ... Adli Tıp Anabilim Dalı Başkanlığının 20.12.2021 tarihli raporunu düzenleyen heyetin ise, ortopedi ve travmatoloji ... Adli Tıp Anabilim Dalı bölümlerinden içerisinde Cildiye/Plastik Cerrahi Bölümü uzmanı ile kulak-burun-boğaz"
"58","Yargıtay","Ceza Dairesi","2023/5486","2025/355","2025-01-14","RGV4SjdrbHNJNm9rUW1DUmxMZVpQNmFFVkdIRlNpTDY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RGV4SjdrbHNJNm9rUW1DUmxMZVpQNmFFVkdIRlNpTDY","boğazına, travmasına","gelerek \""senin ananı avradını sinkaf ederim, sen bu kadına ne yaptın\"" diyerek elinde bulunan bıçağı boğazına ... maktulün tedavi gördüğü hastanede 23.05.2020 tarihinde otopsi raporuna göre \""künt kafa ve genel beden travmasına"
"59","Bölge Adliye Mahkemesi","3. Hukuk Dairesi","2023/2076","2025/59","2025-01-10","bGhxSDJESFpZdlJEMWEvWGlyZXI1dz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bGhxSDJESFpZdlJEMWEvWGlyZXI1dz09","travma, hamile","müvekkillerinin aranmadığını, müvekkillerinin kaza sonrasında çok sıkıntılı bir süreç geçirmiş olup kaza sonrası travma ... zararın artmasına neden olduğunu, müvekkillerden ...in kaza sebebiyle beyin kanaması geçirmiş olup hamile"
"60","Danıştay","Daire","2023/1080","2024/7514","2024-12-30","REUwT3dERFI1cHJrVU1wN0xJcDVNeTVOTXcyOUU0bFQ","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/REUwT3dERFI1cHJrVU1wN0xJcDVNeTVOTXcyOUU0bFQ","boğaz, travmatoloji","dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"61","Danıştay","Daire","2023/881","2024/7523","2024-12-30","VCtoZUxEQzZnMk52Q0dQc25qeDVUNmk5VVJsRWdQTkY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VCtoZUxEQzZnMk52Q0dQc25qeDVUNmk5VVJsRWdQTkY","boğaz, travmatoloji","dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"62","Danıştay","Daire","2023/3317","2024/7650","2024-12-30","Rm8xQmEvZ0EvQ2VPWDRqRnlFRk9Ua3FoUExNR1J2RTc","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Rm8xQmEvZ0EvQ2VPWDRqRnlFRk9Ua3FoUExNR1J2RTc","boğaz, travmatoloji","dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"63","Danıştay","Daire","2022/8912","2024/7489","2024-12-30","UWhSd1ZGQm9LQjBiOWZjQkxyWGdpa0JuSnJRMTYyRmM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/UWhSd1ZGQm9LQjBiOWZjQkxyWGdpa0JuSnJRMTYyRmM","boğaz, travmatoloji","dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"64","Danıştay","Daire","2023/1073","2024/7513","2024-12-30","dkpJM3NERmdSQU1EWHVjY0YrQTJZdFhvcjVjTjZBUW4","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/dkpJM3NERmdSQU1EWHVjY0YrQTJZdFhvcjVjTjZBUW4","boğaz, travmatoloji","dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"65","Danıştay","Daire","2023/2985","2024/7613","2024-12-30","ZkdBQkZoVktYV202bEtmbm1waGpWcGJkejZQQW10SVk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZkdBQkZoVktYV202bEtmbm1waGpWcGJkejZQQW10SVk","travmatloji, boğaz, travmatoloji","DÜŞÜNCESİ : Dava, Kadın Hastalıkları ve Doğum Uzmanı ve Ortopedi ve Travmatloji Uzmanı olarak mesleğini ... dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"66","Danıştay","Daire","2023/1245","2024/7517","2024-12-30","SUYxR0V0U3MvUE1NZWJJc2sxc3VtMFZ0THZXNWZaR3Y","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SUYxR0V0U3MvUE1NZWJJc2sxc3VtMFZ0THZXNWZaR3Y","boğaz, travmatoloji","dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"67","Danıştay","Daire","2023/919","2024/7516","2024-12-30","aFRVRUlxS1lXcjg5YUx6cGJhSDluR0xObVpIVEp4d2c","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/aFRVRUlxS1lXcjg5YUx6cGJhSDluR0xObVpIVEp4d2c","boğaz, travmatoloji","dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"68","Danıştay","Daire","2022/6852","2024/7320","2024-12-27","ZEZjcnc4bUMrQkxHOW1CUDErQTdrem1ha1hCY010LzA","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZEZjcnc4bUMrQkxHOW1CUDErQTdrem1ha1hCY010LzA","boğaz, travmatoloji","DÜŞÜNCESİ : Dava, Kulak Burun Boğaz Hastalıkları Uzmanı olarak mesleğini serbest olarak icra etmek üzere ... dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
"69","Danıştay","Daire","2022/7296","2024/7351","2024-12-27","WUlnN3llb1hyQThZQWVzd3dXS2hwdHBJMTVHSXd3TjI","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/WUlnN3llb1hyQThZQWVzd3dXS2hwdHBJMTVHSXd3TjI","boğaz, travmatoloji","dallarından 7 branş (Kadın Hastalıkları ve Doğum, Plastik Rekonstrüktif ve Estetik Cerrahi, Kulak Burun ve Boğaz ... Hastalıkları, Genel Cerrahi, Ortopedi ve Travmatoloji, Göz Hastalıkları, Beyin ve Sinir Cerrahisi) seçilerek"
